!SIL 1.0	SIL
<UNK> 1.0	spn
a 1.0	a1
ai 1.0	a1 j1
an 1.0	a1 n1
anh 1.0	E_X1 J1
b 1.0	b
ba 1.0	b a1
ban 1.0	b a1 n1
bao 1.0	b a1 w1
bay 1.0	b a_X1 j1
bi 1.0	b i1
bia 1.0	b ie1
bin 1.0	b i1 n1
binh 1.0	b i1 J1
biên 1.0	b ie1 n1
biến 1.0	b ie5a n5a
biết 1.0	b ie5b t5b
biển 1.0	b ie3 n3
biểu 1.0	b ie3 w3
biện 1.0	b ie6a n6a
biệt 1.0	b ie6b t6b
bon 1.0	b O1 n1
buông 1.0	b uo1 N1
buồn 1.0	b uo2 n2
buổi 1.0	b uo3 j3
bà 1.0	b a2
bài 1.0	b a2 j2
bàn 1.0	b a2 n2
bàng 1.0	b a2 N2
bào 1.0	b a2 w2
bày 1.0	b a_X2 j2
bác 1.0	b a5b k5b
bách 1.0	b E_X5b k5b
bán 1.0	b a5a n5a
bánh 1.0	b E_X5a J5a
báo 1.0	b a5a w5a
bây 1.0	b 7_X1 j1
bã 1.0	b a4
bãi 1.0	b a4 j4
bè 1.0	b E2
bé 1.0	b E5a
béo 1.0	b E5a w5a
bê 1.0	b e1
bên 1.0	b e1 n1
bì 1.0	b i2
bình 1.0	b i2 J2
bí 1.0	b i5a
bính 1.0	b i5a J5a
bò 1.0	b O2
bó 1.0	b O5a
bón 1.0	b O5a n5a
bóng 1.0	b O_X5a Nm5a
bô 1.0	b o1
bông 1.0	b o1 Nm1
bõm 1.0	b O4 m4
bù 1.0	b u2
bùng 1.0	b u2 Nm2
bú 1.0	b u5a
búp 1.0	b u5b p5b
bút 1.0	b u5b t5b
băm 1.0	b a_X1 m1
băng 1.0	b a_X1 N1
bơm 1.0	b 71 m1
bước 1.0	b M75b k5b
bướng 1.0	b M75a N5a
bạc 1.0	b a6b k6b
bạch 1.0	b E_X6b k6b
bạn 1.0	b a6a n6a
bạo 1.0	b a6a w6a
bản 1.0	b a3 n3
bảng 1.0	b a3 N3
bảo 1.0	b a3 w3
bảy 1.0	b a_X3 j3
bất 1.0	b 7_X5b t5b
bấy 1.0	b 7_X5a j5a
bần 1.0	b 7_X2 n2
bầu 1.0	b 7_X2 w2
bẩm 1.0	b 7_X3 m3
bẩn 1.0	b 7_X3 n3
bật 1.0	b 7_X6b t6b
bắc 1.0	b a_X5b k5b
bắt 1.0	b a_X5b t5b
bằm 1.0	b a_X2 m2
bằng 1.0	b a_X2 N2
bẻ 1.0	b E3
bến 1.0	b e5a n5a
